stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
351870,차이커뮤니케이션,2024Q3,18000,27450,13600,22100,21685028,,,,0,,,,,,,0,,,,0.6266968325791855,,0,,
351870,차이커뮤니케이션,2024Q4,20450,25850,6460,9890,76240932,-0.5524886877828055,-0.804053462889085,,1,,,,,,,0,,,,1.9605662285136503,,1,,
351870,차이커뮤니케이션,2025Q1,9850,14320,7010,7770,25936757,-0.21435793731041453,-0.24125398125506514,,1,,,,,,,0,,,,0.9407979407979408,,2,,
351870,차이커뮤니케이션,2025Q2,7650,10540,6160,7460,12455917,-0.039897039897039854,-0.04071475016388604,,0,,,-0.6624434389140271,11805.0,,-0.36806437950021176,0,,-0.7543533508461008,0.3654941847495332,0.5871313672922251,2.0,3,3.0,
351870,차이커뮤니케이션,2025Q3,7420,8270,6050,6140,2372253,-0.1769436997319035,-0.1947306720566182,-0.7221719457013576,1,0.21770294302465865,,-0.3791708796764408,7815.0,,-0.21433141394753674,0,-0.7221719457013575,-0.8199888467067977,0.08109860549803749,0.36156351791530944,3.0,4,4.0,
351870,차이커뮤니케이션,2025Q4,6140,6190,4450,5020,819241,-0.1824104234527687,-0.20139480845541335,-0.4924165824064711,1,0.07744826772012678,,-0.35392535392535396,6597.5,,-0.23910572186434254,0,-0.49241658240647124,-0.8274606821315849,0.07880316374250892,0.3466135458167331,3.0,5,5.0,
