stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
23810,인팩,2019Q1,3115,5410,2950,5210,7197187,,,,0,,,,,,,0,,,,0.472168905950096,,0,,
23810,인팩,2019Q2,5260,5910,3730,4020,1543916,-0.22840690978886757,-0.25929795313434667,,1,,,,,,,0,,,,0.5422885572139303,,1,,
23810,인팩,2019Q3,4025,4320,3325,3860,740728,-0.03980099502487566,-0.040614719154190126,,0,,,,,,,0,,,,0.25777202072538863,,2,,
23810,인팩,2019Q4,3860,4085,3605,3720,474570,-0.03626943005181349,-0.03694351519168393,,0,,,-0.2859884836852208,4202.5,,-0.11481261154074951,0,,-0.6352047234085553,0.19065925528712635,0.12903225806451613,1.0,3,3.0,
23810,인팩,2020Q1,3720,3910,2255,3000,688982,-0.19354838709677424,-0.21511137961694615,-0.42418426103646845,1,0.10086770281626485,,-0.25373134328358204,3650.0,,-0.17808219178082196,0,-0.42418426103646834,-0.3690489925892132,0.7992376303435188,0.5516666666666666,2.0,4,4.0,
23810,인팩,2020Q2,3000,5300,2905,4780,2887173,0.5933333333333333,0.4658282578352555,0.1890547263681588,0,0.3493838579323224,,0.0,3840.0,,0.24479166666666674,0,0.18905472636815923,1.4922102809856983,2.410269285746933,0.5010460251046025,1.0,0,4.0,
23810,인팩,2020Q3,4780,5550,4025,4800,2716498,0.004184100418409997,0.004175371410481077,0.24352331606217614,0,0.3449819554857302,,0.0,4075.0,,0.17791411042944794,0,0.24352331606217614,0.7964184311011434,1.6056796118585128,0.3177083333333333,1.0,0,4.0,
23810,인팩,2020Q4,4800,6260,4405,6090,3110252,0.26875000000000004,0.23803216380795966,0.6370967741935485,0,0.34088696213233005,,0.0,4667.5,4435.0,0.30476700589180505,0,0.6370967741935485,0.678451172631182,1.3231025943578074,0.3045977011494253,1.0,0,4.0,-0.028590694315178466
23810,인팩,2021Q1,6180,9300,6140,6890,4793176,0.1313628899835797,0.12342300330376155,1.2966666666666664,0,0.2534614742563009,0.26802836019715104,0.0,5640.0,4645.0,0.22163120567375882,0,1.2966666666666669,1.4786028610969468,1.419453873848115,0.45863570391872277,0.0,0,0.0,0.5932602765094916
23810,인팩,2021Q2,6910,20650,6900,18350,19911065,1.6632801161103048,0.9795584894750125,2.8389121338912133,0,0.771855394458837,0.6016194312010407,0.0,9032.5,6436.25,1.031552726266261,0,2.8389121338912133,1.4910025952223278,2.608636581760481,0.7493188010899182,0.0,0,0.0,0.7287020682940286
