stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
454910,두산로보틱스,2023Q4,59100,124500,32150,116100,267279844,,,,0,,,,,,,0,,,,0.7954349698535745,,0,,
454910,두산로보틱스,2024Q1,116100,116800,67300,88200,85231587,-0.24031007751937983,-0.27484492569110053,,1,,,,,,,0,,,,0.5612244897959183,,1,,
454910,두산로보틱스,2024Q2,88500,90800,69100,79900,36681568,-0.0941043083900227,-0.09883111024051594,,0,,,,,,,0,,,,0.2715894868585732,,2,,
454910,두산로보틱스,2024Q3,80000,109300,53900,63700,54879657,-0.20275344180225285,-0.2265912901941114,,1,,,-0.4513350559862188,86975.0,,-0.2676056338028169,0,,-0.5291995719812527,0.49433043227052464,0.869701726844584,2.0,3,3.0,
454910,두산로보틱스,2024Q4,62100,78200,49850,52300,25682399,-0.1789638932496075,-0.19718819150724087,-0.549526270456503,1,0.06199577142277867,,-0.40702947845804993,71025.0,,-0.2636395635339669,0,-0.549526270456503,-0.9580842404190432,0.5073687563659336,0.5420650095602294,3.0,4,4.0,
454910,두산로보틱스,2025Q1,56600,77000,50000,50200,38558412,-0.040152963671128084,-0.04098134437319345,-0.43083900226757366,0,0.07538228306991708,,-0.3717146433041302,61525.0,,-0.1840715156440471,0,-0.43083900226757366,-0.03255880246345106,0.9899334563253076,0.5378486055776892,2.0,5,5.0,
454910,두산로보틱스,2025Q2,50600,70900,39550,66100,22479250,0.3167330677290836,0.2751537201599561,-0.17271589486858574,0,0.239656469833455,,0.0,58075.0,,0.13818338355574689,0,-0.17271589486858574,-0.8772407983455887,0.6350083267821197,0.4742813918305598,2.0,0,5.0,
454910,두산로보틱스,2025Q3,67300,75300,57400,65900,19003080,-0.00302571860816947,-0.0030303053491778087,0.03453689167974883,0,0.20954910835818885,,-0.00302571860816947,58625.0,72800.0,0.12409381663113006,1,0.03453689167974883,-0.8704909635365623,0.7189752336245856,0.2716236722306525,1.0,1,5.0,-0.6154094244558221
454910,두산로보틱스,2025Q4,65600,95500,63700,78000,33290319,0.1836115326251897,0.16857038518113043,0.49139579349904383,0,0.16673759564895602,0.19530676352574244,0.0,65050.0,68037.5,0.1990776325903152,1,0.49139579349904405,0.5425870170672102,1.1749759935627886,0.4076923076923077,0.0,0,5.0,-0.28227479281982093
