stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
47050,포스코인터내셔널,2019Q1,18100,20900,17150,17750,15359710,,,,0,,,,,,,0,,,,0.2112676056338028,,0,,
47050,포스코인터내셔널,2019Q2,17900,18950,16200,18350,14743719,0.033802816901408406,0.0332440585791538,,0,,,,,,,0,,,,0.14986376021798364,,0,,
47050,포스코인터내셔널,2019Q3,18550,19950,17000,19100,12166819,0.04087193460490468,0.04005876055200552,,0,,,,,,,0,,,,0.1544502617801047,,0,,
47050,포스코인터내셔널,2019Q4,19150,19800,17650,18650,10072114,-0.023560209424083767,-0.023842188962760247,,0,,,-0.023560209424083767,18462.5,,0.010155721056194889,0,,-1.2355367404570214,0.7697103160915818,0.11528150134048257,0.0,1,1.0,
47050,포스코인터내셔널,2020Q1,18700,19900,8640,11350,29627221,-0.3914209115281502,-0.496628402162413,-0.3605633802816902,1,0.2062574868516587,,-0.40575916230366493,16862.5,,-0.32690882134914756,0,-0.3605633802816901,1.4646963279735983,1.7791489258656896,0.9920704845814978,1.0,2,2.0,
47050,포스코인터내셔널,2020Q2,11200,16350,10550,13950,24613401,0.2290748898678414,0.20626176433996335,-0.23978201634877394,0,0.25990542951050544,,-0.2696335078534031,15762.5,,-0.11498810467882636,0,-0.23978201634877383,0.5782216138622227,1.2873192580683819,0.4157706093189964,1.0,0,2.0,
47050,포스코인터내셔널,2020Q3,14000,15450,12950,13400,15694674,-0.03942652329749108,-0.04022480131050976,-0.2984293193717278,0,0.2550172914448446,,-0.2815013404825737,14337.5,,-0.06538796861377505,0,-0.2984293193717278,-0.4907788722523355,0.7846610207729509,0.1865671641791045,1.0,1,2.0,
47050,포스코인터내셔널,2020Q4,13500,15550,13200,14550,39375057,0.08582089552238803,0.0823362866606363,-0.21983914209115296,0,0.265357693026718,,0.0,13312.5,15887.5,0.09295774647887334,1,-0.21983914209115285,1.2188008028279962,1.4408537130970567,0.16151202749140894,1.0,0,2.0,0.3524097383703082
47050,포스코인터내셔널,2021Q1,14600,25400,14300,20150,185572726,0.3848797250859106,0.3256132947751915,0.7753303964757705,0,0.18304115072918728,0.22465927664245006,0.0,15512.5,16187.5,0.298952457695407,1,0.775330396475771,1.4888124580536568,2.798395894427334,0.5508684863523573,0.0,0,1.0,0.5985733579704859
47050,포스코인터내셔널,2021Q2,20250,24300,19550,23300,71437387,0.15632754342431765,0.1452490721789612,0.6702508960573477,0,0.1781118173266703,0.22832257329853062,0.0,17850.0,16806.25,0.30532212885154064,0,0.6702508960573477,-0.08747320856472574,0.9156296168874014,0.20386266094420602,0.0,0,1.0,0.6063430446061606
47050,포스코인터내셔널,2021Q3,23500,28500,20800,23900,95666340,0.025751072961373467,0.02542509836581175,0.7835820895522387,0,0.1571293144935097,0.22852177292389386,0.0,20475.0,17406.25,0.16727716727716735,0,0.7835820895522387,-0.03738837933798775,0.9760588857316224,0.32217573221757323,0.0,0,0.0,0.6610278649114394
47050,포스코인터내셔널,2021Q4,24050,25550,18550,22450,58300453,-0.060669456066945626,-0.06258784474920276,0.5429553264604812,0,0.1939351226590453,0.23067432873068947,-0.060669456066945626,22450.0,17881.25,0.0,0,0.5429553264604812,-0.774997798781769,0.5674328863627194,0.311804008908686,0.0,1,1.0,0.579807688506168
47050,포스코인터내셔널,2022Q1,22600,24000,19400,21500,48522034,-0.04231625835189312,-0.043237679054646705,0.06699751861042169,0,0.09833437077428317,0.15664038139362665,-0.10041841004184104,22787.5,19150.0,-0.056500274273176054,0,0.06699751861042191,-0.9778961663011584,0.7085416658954736,0.21395348837209302,0.0,2,2.0,0.01608057175906996
47050,포스코인터내셔널,2022Q2,21550,25650,18900,19250,44403889,-0.10465116279069764,-0.11054187439982321,-0.17381974248927035,1,0.054208919332892166,0.15946389883352066,-0.19456066945606698,21775.0,19812.5,-0.11595866819747414,0,-0.17381974248927035,-0.741178801724034,0.7194037915642679,0.35064935064935066,1.0,3,3.0,-0.11661954926731999
47050,포스코인터내셔널,2022Q3,19400,28350,17400,20900,62649843,0.08571428571428563,0.08223809823697259,-0.12552301255230136,0,0.0817597571956788,0.15544553639355557,-0.06904231625835189,21025.0,20750.0,-0.005945303210463715,0,-0.12552301255230125,1.0863011999488463,1.1717028343389595,0.5239234449760766,1.0,0,3.0,-0.2940537005858004
47050,포스코인터내셔널,2022Q4,21350,25200,19650,22600,37146692,0.08133971291866038,0.07820074730747528,0.006681514476614581,0,0.09417138917726997,0.1553734361138243,0.0,21062.5,21756.25,0.07299703264094948,1,0.006681514476614803,-1.0281942667624204,0.770988340134184,0.24557522123893805,1.0,0,3.0,-0.36152837159523665
47050,포스코인터내셔널,2023Q1,22500,24750,20300,22300,40498853,-0.013274336283185861,-0.013363227812167366,0.037209302325581284,0,0.09034703312445347,0.08751239731469308,-0.013274336283185861,21262.5,22025.0,0.048794826572604366,1,0.037209302325581506,-0.49891253025671234,0.8770765897475603,0.19955156950672645,1.0,1,3.0,-0.19455293861980294
47050,포스코인터내셔널,2023Q2,22750,41400,21250,39850,205505272,0.7869955156950672,0.580535726770151,1.07012987012987,0,0.3706915849664359,0.28750118867975083,0.0,26412.5,24093.75,0.5087553241836251,0,1.07012987012987,1.4849852911276527,2.377153033773851,0.5056461731493099,0.0,0,1.0,0.16687877409313234
47050,포스코인터내셔널,2023Q3,40150,96700,39550,71400,321305517,0.7917189460476788,0.5831754641093134,2.4162679425837323,0,0.43779836650151777,0.3753274262949468,0.0,39037.5,30031.25,0.8290105667627281,0,2.416267942583732,1.2331005342488666,2.126244685856828,0.8004201680672269,0.0,0,1.0,0.47728776469680545
47050,포스코인터내셔널,2023Q4,70800,71000,50000,62400,93977648,-0.12605042016806722,-0.13473259397015624,1.7610619469026547,1,0.4980913794203211,0.3822288935498704,-0.12605042016806722,48987.5,35025.0,0.2737943352896146,0,1.7610619469026547,-0.5723343830096218,0.5684527703534118,0.33653846153846156,1.0,1,1.0,0.5486645007241768
47050,포스코인터내셔널,2024Q1,62300,62400,47100,52900,46285753,-0.15224358974358976,-0.16516193651112765,1.3721973094170403,1,0.536182280079082,0.3932789840963819,-0.2591036414565826,56637.5,38950.0,-0.06598984771573602,0,1.3721973094170403,-0.9815935212651911,0.2775448589908718,0.2892249527410208,2.0,2,2.0,0.5663183131296106
47050,포스코인터내셔널,2024Q2,52200,72800,41550,65400,125931806,0.23629489603024578,0.21211891959889861,0.6411543287327477,0,0.44015187900598535,0.3775864236778649,-0.08403361344537819,63025.0,44718.75,0.037683458944863135,0,0.6411543287327479,-0.17336631189680593,0.857406984233776,0.47782874617737003,2.0,0,2.0,0.2589732193089729
47050,포스코인터내셔널,2024Q3,64600,66200,44000,57100,68688063,-0.12691131498470953,-0.13571814180118835,-0.20028011204481788,1,0.18607874279340225,0.3947819503063214,-0.12691131498470953,59450.0,49243.75,-0.03952901597981495,0,-0.20028011204481788,-0.43921527475979044,0.8204418572477509,0.38879159369527144,3.0,1,2.0,-0.28698147384830164
47050,포스코인터내셔널,2024Q4,56500,58000,37400,39650,30354515,-0.30560420315236425,-0.36471316858110825,-0.36458333333333337,1,0.22960616471715628,0.43127630238908987,-0.3937308868501529,53762.5,51375.0,-0.26249709369913976,0,-0.36458333333333337,-0.8958940078468179,0.4476074566017048,0.519546027742749,3.0,2,2.0,-0.4182384098733887
