stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
9200,무림페이퍼,2019Q1,2820,3800,2665,3230,12506720,,,,0,,,,,,,0,,,,0.35139318885448917,,0,,
9200,무림페이퍼,2019Q2,3250,3755,2950,3195,8594714,-0.010835913312693513,-0.01089504940506636,,0,,,,,,,0,,,,0.2519561815336463,,1,,
9200,무림페이퍼,2019Q3,3270,3270,2380,2660,4749390,-0.16744913928012517,-0.18326096503589095,,1,,,,,,,0,,,,0.33458646616541354,,2,,
9200,무림페이퍼,2019Q4,2660,2700,2430,2485,3844486,-0.06578947368421051,-0.0680534632450156,,0,,,-0.2306501547987616,2892.5,,-0.14088159031979253,0,,-0.9026635090756542,0.5178576684331634,0.10865191146881288,1.0,3,3.0,
9200,무림페이퍼,2020Q1,2485,3200,1525,1900,33415717,-0.23541247484909456,-0.26841877337619735,-0.4117647058823529,1,0.10070910810012025,,-0.40532081377151796,2560.0,,-0.2578125,0,-0.4117647058823529,1.4836717979318594,2.6413338295493305,0.881578947368421,2.0,4,4.0,
9200,무림페이퍼,2020Q2,1900,2320,1750,1970,8682574,0.03684210526315779,0.03617965657750233,-0.38341158059467917,0,0.11906453960677796,,-0.2593984962406015,2253.75,,-0.12590127565169162,0,-0.38341158059467917,-0.2852979523861665,0.6851215494496418,0.2893401015228426,2.0,0,4.0,
9200,무림페이퍼,2020Q3,1975,2485,1960,2365,6639236,0.20050761421319807,0.18274447919399872,-0.11090225563909772,0,0.1828375011232889,,-0.048289738430583484,2180.0,,0.08486238532110102,0,-0.11090225563909772,-0.47636325398002066,0.5050575754868875,0.2219873150105708,1.0,0,4.0,
9200,무림페이퍼,2020Q4,2420,3440,2270,2705,62795545,0.14376321353065546,0.1343238903545485,0.08853118712273655,0,0.19351174217608433,,0.0,2235.0,2563.75,0.21029082774049224,1,0.08853118712273633,1.3292640755507452,2.2520869863604225,0.43253234750462105,1.0,0,4.0,0.5794710726063548
9200,무림페이퍼,2021Q1,2705,3335,2605,2910,36379843,0.07578558225508325,0.07305116888495622,0.5315789473684212,0,0.07253251410670138,0.14919407283496094,0.0,2487.5,2523.75,0.16984924623115583,1,0.5315789473684212,0.2925171043625123,1.27094264787161,0.2508591065292096,0.0,0,0.0,0.3869915722452075
9200,무림페이퍼,2021Q2,2915,4235,2765,3635,74637922,0.24914089347079038,0.2224560298020828,0.8451776649746197,0,0.07467607036730198,0.17352871127764946,0.0,2903.75,2578.75,0.2518295307791649,0,0.8451776649746192,0.9767904832299776,1.654460935120306,0.40440165061898214,0.0,0,0.0,0.5613815575353436
9200,무림페이퍼,2021Q3,3650,3650,2680,2805,13368340,-0.22833562585969736,-0.25920557201082417,0.1860465116279073,1,0.20508302378201548,0.18440385761684272,-0.22833562585969736,3013.75,2596.875,-0.06926586478639574,0,0.18604651162790709,-1.2186728767527295,0.2856762935896761,0.34581105169340465,1.0,1,1.0,0.5613846373376437
9200,무림페이퍼,2021Q4,2790,3110,2285,2500,12922330,-0.10873440285204994,-0.11511280710050453,-0.07578558225508303,1,0.20955357406298838,0.18791822908972639,-0.31224209078404397,2962.5,2598.75,-0.1561181434599156,0,-0.07578558225508314,-0.7375683489519131,0.37644679294465777,0.33,2.0,2,2.0,0.1035814455182511
9200,무림페이퍼,2022Q1,2505,3035,2110,2775,61003397,0.1100000000000001,0.104360015324243,-0.046391752577319534,0,0.21448366871159236,0.15920652128832952,-0.2365887207702888,2928.75,2708.125,-0.052496798975672165,0,-0.046391752577319534,0.6401755429316712,1.5068893398203118,0.3333333333333333,2.0,0,2.0,0.1715983450039955
9200,무림페이퍼,2022Q2,2775,4290,2290,2550,217847112,-0.08108108108108103,-0.08455738802806323,-0.2984869325997247,0,0.14011327975721463,0.16691571014943507,-0.09090909090909094,2657.5,2780.625,-0.040451552210724384,1,-0.2984869325997249,1.458891357615802,2.8556894577640732,0.7843137254901961,2.0,1,2.0,0.2567756265796062
9200,무림페이퍼,2022Q3,2690,3055,2035,2120,38752365,-0.1686274509803921,-0.18467727048641347,-0.24420677361853826,1,0.12041809985754079,0.1688380498099025,-0.23603603603603607,2486.25,2750.0,-0.14731020613373558,1,-0.24420677361853838,-0.4756003024248589,0.4689792431078872,0.4811320754716981,2.0,2,2.0,0.2768817003145181
9200,무림페이퍼,2022Q4,2135,3110,2135,2450,98381294,0.1556603773584906,0.1446719358727142,-0.019999999999999796,0,0.15413835416135516,0.17034111440787422,-0.11711711711711714,2473.75,2718.125,-0.009600808489135915,1,-0.020000000000000018,-0.07037024019323222,0.9460099837261114,0.3979591836734694,1.0,0,2.0,0.5036679172810123
9200,무림페이퍼,2023Q1,2450,3145,2300,2425,17577909,-0.010204081632653073,-0.010256500167188598,-0.12612612612612606,0,0.13738814007466774,0.167601110746939,-0.0490196078431373,2386.25,2657.5,0.01623886851754852,1,-0.12612612612612617,-0.8404925660390655,0.18872633970036612,0.34845360824742266,1.0,1,2.0,0.39406991219148857
9200,무림페이퍼,2023Q2,2430,2740,2360,2410,16832004,-0.006185567010309256,-0.0062047768868831454,-0.05490196078431364,0,0.13240380223543807,0.13158554135010977,-0.01632653061224487,2351.25,2504.375,0.024986709197235557,1,-0.05490196078431375,-0.6790668315503597,0.39248346769880715,0.15767634854771784,1.0,2,2.0,-0.280264067016484
9200,무림페이퍼,2023Q3,2425,2500,2140,2180,11649421,-0.0954356846473029,-0.10030187070156593,0.028301886792452935,0,0.10488109097540915,0.11159876354741645,-0.11020408163265305,2366.25,2426.25,-0.0787110406761754,1,0.028301886792452935,-0.5880305439963842,0.3226078745655966,0.1651376146788991,0.0,3,3.0,-0.39178518424457953
9200,무림페이퍼,2023Q4,2165,2330,2030,2290,6593645,0.050458715596330306,0.04922694076515022,-0.0653061224489796,0,0.060152503309331015,0.10881054027447486,-0.05567010309278353,2326.25,2400.0,-0.01558301988178401,1,-0.0653061224489796,-1.2851106282622116,0.5009133481317363,0.13100436681222707,0.0,0,3.0,-0.7752931907465713
9200,무림페이퍼,2024Q1,2290,2450,2110,2130,16053141,-0.06986899563318782,-0.07242983784481449,-0.12164948453608249,0,0.0656044504529046,0.09969491171376292,-0.11618257261410792,2252.5,2319.375,-0.05438401775804658,1,-0.12164948453608249,0.6938261047134335,1.25591259197393,0.1596244131455399,0.0,1,3.0,-0.758650965672667
9200,무림페이퍼,2024Q2,2145,2360,2040,2260,9833937,0.06103286384976525,0.05924283356286075,-0.06224066390041494,0,0.08069856762229831,0.10156197354653326,-0.013100436681222738,2215.0,2283.125,0.020316027088036037,1,-0.06224066390041494,-0.30370270664760457,0.8913577984245871,0.1415929203539823,0.0,0,3.0,-0.590769382394283
9200,무림페이퍼,2024Q3,2260,2305,1975,2140,4771776,-0.053097345132743334,-0.05455898425043415,-0.01834862385321101,0,0.06816445682669371,0.08222070131882757,-0.06550218340611358,2205.0,2285.625,-0.02947845804988658,1,-0.01834862385321101,-0.9161303840231884,0.5123711029426509,0.1542056074766355,0.0,1,1.0,-0.589940471441168
9200,무림페이퍼,2024Q4,2115,2435,1906,2050,23195053,-0.04205607476635509,-0.04296603588344361,-0.10480349344978168,0,0.05913620377459239,0.055514904133255834,-0.09292035398230092,2145.0,2235.625,-0.044289044289044344,1,-0.10480349344978168,1.2224172078130229,1.722813017075994,0.2580487804878049,0.0,2,2.0,0.011275590199867347
9200,무림페이퍼,2025Q1,2035,2240,1993,2010,9104266,-0.019512195121951237,-0.019705071079331837,-0.05633802816901401,0,0.051557927659186494,0.05536155954039671,-0.11061946902654862,2115.0,2183.75,-0.049645390070921946,1,-0.05633802816901412,-0.32916315379990957,0.7763999393497909,0.12288557213930348,0.0,3,3.0,-0.043079050236051075
9200,무림페이퍼,2025Q2,2015,2400,2000,2125,18368801,0.05721393034825861,0.05563708030539516,-0.05973451327433632,0,0.04972265429806921,0.062054651502585774,-0.007009345794392496,2081.25,2148.125,0.021021021021021102,1,-0.05973451327433632,0.5354950240244231,1.325312803617092,0.18823529411764706,0.0,0,3.0,0.11358589390945317
9200,무림페이퍼,2025Q3,2125,2565,1999,2045,10931729,-0.03764705882352937,-0.038374012881615016,-0.04439252336448607,0,0.04618493506568277,0.05405659554135134,-0.03764705882352937,2057.5,2131.25,-0.0060753341433779084,1,-0.04439252336448596,-0.6809286519302558,0.7098542725323889,0.27677261613691934,0.0,1,3.0,0.24630016881339034
9200,무림페이퍼,2025Q4,2040,2140,1908,2010,8829930,-0.017114914425427896,-0.017263067423780143,-0.019512195121951348,0,0.04199848405151897,0.04888394123571748,-0.05411764705882349,2047.5,2096.25,-0.01831501831501836,1,-0.019512195121951237,-0.666118838277144,0.7477490183810953,0.1154228855721393,0.0,2,3.0,-0.06547898417025777
