stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
78520,에이블씨엔씨,2019Q1,11150,16250,10000,12650,24221327,,,,0,,,,,,,0,,,,0.49407114624505927,,0,,
78520,에이블씨엔씨,2019Q2,12950,14650,9840,11550,12375525,-0.08695652173913049,-0.0909717782057271,,0,,,,,,,0,,,,0.41645021645021646,,1,,
78520,에이블씨엔씨,2019Q3,11650,12450,8290,11150,8186144,-0.03463203463203468,-0.03524593906167439,,0,,,,,,,0,,,,0.37309417040358744,,2,,
78520,에이블씨엔씨,2019Q4,11400,12150,9330,10250,7955019,-0.08071748878923768,-0.0841617923217104,,0,,,-0.18972332015810278,11400.0,,-0.10087719298245612,0,,-0.6850977004816681,0.6033612755428888,0.2751219512195122,0.0,3,3.0,
78520,에이블씨엔씨,2020Q1,10300,13400,5230,8050,14427028,-0.21463414634146338,-0.24160561415394533,-0.36363636363636376,1,0.07721002405881534,,-0.303030303030303,10250.0,,-0.21463414634146338,0,-0.36363636363636365,1.156723462116542,1.3438080672850947,1.0149068322981367,1.0,4,4.0,
78520,에이블씨엔씨,2020Q2,8000,10800,7700,9280,11108810,0.15279503105590053,0.14218945536763705,-0.19653679653679668,0,0.15196477189204316,,-0.16771300448430493,9682.5,,-0.04156984249935447,0,-0.19653679653679657,0.22735357948017323,1.0661813214439302,0.33405172413793105,1.0,0,4.0,
78520,에이블씨엔씨,2020Q3,9000,9290,7010,7490,6967103,-0.19288793103448276,-0.21429274926898145,-0.3282511210762332,1,0.16832948463517972,,-0.26926829268292685,8767.5,,-0.1457085828343313,0,-0.3282511210762332,-0.9327755819084194,0.6888239545444209,0.30440587449933243,2.0,1,4.0,
78520,에이블씨엔씨,2020Q4,7480,8600,7130,7400,5205167,-0.012016021361815787,-0.01208879731900403,-0.2780487804878049,0,0.17221721841921112,,-0.2025862068965517,8055.0,9727.5,-0.08131595282433268,1,-0.2780487804878049,-1.0169591521640293,0.5521536111013579,0.19864864864864865,2.0,2,4.0,-0.16617524888269675
78520,에이블씨엔씨,2021Q1,7480,8400,7140,7440,8082548,0.00540540540540535,0.005390848634876377,-0.075776397515528,0,0.14163376955011925,0.11661838679352454,-0.19827586206896552,7902.5,9076.25,-0.05852578298006961,1,-0.075776397515528,0.09744370572069998,1.0308179908268265,0.1693548387096774,1.0,0,2.0,-0.15584042406360266
78520,에이블씨엔씨,2021Q2,7560,13000,7310,10200,17287987,0.37096774193548376,0.3155168714452241,0.09913793103448265,0,0.23639374037729435,0.1897822672651547,0.0,8132.5,8907.5,0.2542268675069166,1,0.09913793103448265,1.4634631007440495,1.8419494227988558,0.557843137254902,1.0,0,2.0,-0.052186393892456606
78520,에이블씨엔씨,2021Q3,10250,10250,7500,8170,6684835,-0.19901960784313721,-0.2219188114183126,0.09078771695594101,1,0.23844310943694338,0.20245550785051594,-0.19901960784313721,8302.5,8535.0,-0.015959048479373683,1,0.09078771695594123,-0.4831976228902875,0.7176316326305228,0.33659730722154224,1.0,1,2.0,-0.04114108125379723
78520,에이블씨엔씨,2021Q4,8170,8500,5820,6520,2775349,-0.20195838433292534,-0.22559453293334997,-0.11891891891891893,1,0.26950010987961237,0.2118611754043331,-0.36078431372549025,8082.5,8068.75,-0.1933188988555521,0,-0.11891891891891893,-0.9653325468413377,0.31872428473268094,0.4110429447852761,2.0,2,2.0,-0.03966688074512148
78520,에이블씨엔씨,2022Q1,6520,7130,5170,6320,2158187,-0.030674846625766916,-0.031155167779795434,-0.15053763440860224,0,0.26958816420310955,0.1993697729065999,-0.3803921568627451,7802.5,7852.5,-0.1900032041012496,1,-0.15053763440860213,-0.7239898729444252,0.29864530149387897,0.310126582278481,2.0,3,3.0,-0.040771039833989664
78520,에이블씨엔씨,2022Q2,6200,8430,4915,5340,3674111,-0.15506329113924056,-0.16849355518666265,-0.4764705882352941,1,0.08025502995574435,0.19228856080948908,-0.34638922888616897,6587.5,7360.0,-0.1893738140417457,1,-0.4764705882352941,-0.0742532028314747,0.9610241162945296,0.6582397003745318,3.0,4,4.0,-0.4211261878827307
78520,에이블씨엔씨,2022Q3,5240,7250,4470,4550,7379680,-0.14794007490636707,-0.1600984200092448,-0.4430844553243575,1,0.07287519977680473,0.1881937915719104,-0.3021472392638037,5682.5,6992.5,-0.19929608446986358,1,-0.44308445532435736,1.4459413404459094,1.8463824502995403,0.610989010989011,3.0,5,5.0,-0.39951292694106944
78520,에이블씨엔씨,2022Q4,4575,5760,4060,5240,5679998,0.15164835164835155,0.14119426537009083,-0.19631901840490806,0,0.1432775176820559,0.2009172176224338,-0.1708860759493671,5362.5,6722.5,-0.022843822843822803,1,-0.19631901840490795,0.41897325655122963,1.2026265542577441,0.3244274809160305,2.0,0,5.0,-0.2966854697069833
78520,에이블씨엔씨,2023Q1,5170,9170,4920,7490,8787837,0.42938931297709915,0.35724729919617815,0.18512658227848067,0,0.27927138944173124,0.2581118847442997,0.0,5655.0,6728.75,0.3244916003536693,1,0.1851265822784811,1.090952837684116,1.3773161631629582,0.5674232309746329,2.0,0,5.0,-0.06218734833169648
78520,에이블씨엔씨,2023Q2,7700,10000,7200,7450,8982220,-0.005340453938584733,-0.005354765137660422,0.39513108614232184,0,0.24734803352455617,0.21762033105616377,-0.005340453938584733,6182.5,6385.0,0.2050141528507885,1,0.39513108614232206,0.8339320087597949,1.1653969779500213,0.37583892617449666,1.0,1,5.0,0.33687133903385424
78520,에이블씨엔씨,2023Q3,7450,14930,5460,10260,26521929,0.3771812080536914,0.3200388073511551,1.254945054945055,0,0.20221462903586976,0.24365205631570777,0.0,7610.0,6646.25,0.3482260183968462,0,1.254945054945055,1.4807504906016138,2.1229438478968534,0.9230019493177388,0.0,0,1.0,0.5152366888732358
78520,에이블씨엔씨,2023Q4,10000,10010,6440,6770,8516910,-0.3401559454191033,-0.4157517528184389,0.2919847328244276,1,0.3601981385482466,0.26793156904334825,-0.3401559454191033,7992.5,6677.5,-0.15295589615264316,0,0.2919847328244274,-0.5275153545090495,0.6451117629878117,0.5273264401772526,1.0,1,1.0,0.47303357761116205
78520,에이블씨엔씨,2024Q1,6710,7890,6210,6640,4120121,-0.019202363367799125,-0.019389123435841427,-0.11348464619492638,0,0.2934450711005623,0.2675610156013711,-0.3528265107212476,7780.0,6717.5,-0.14652956298200515,0,-0.1134846461949266,-0.79926405064998,0.3423365193790431,0.25301204819277107,1.0,2,2.0,0.3070688618622539
78520,에이블씨엔씨,2024Q2,6640,11780,6130,9550,40543679,0.43825301204819267,0.3634291910042968,0.2818791946308725,0,0.3644195636079291,0.28835698317411723,-0.06920077972709548,8305.0,7243.75,0.1499096929560506,0,0.2818791946308725,1.2259114361947363,2.0347471305184763,0.5916230366492147,1.0,0,2.0,0.4421591813453676
78520,에이블씨엔씨,2024Q3,9500,9870,6500,7750,10700658,-0.18848167539267013,-0.2088483111273831,-0.24463937621832366,1,0.33697849405947905,0.29385124354101555,-0.18848167539267013,7677.5,7643.75,0.009443178117876982,0,-0.24463937621832355,-0.3172743767977036,0.6700331151330384,0.43483870967741933,2.0,1,2.0,0.12216929722016445
78520,에이블씨엔씨,2024Q4,7630,7750,6240,6980,5342476,-0.09935483870967743,-0.10464392659097577,0.03101920236336775,0,0.2790023130034407,0.3015095166492544,-0.2691099476439791,7730.0,7861.25,-0.0970245795601552,1,0.03101920236336775,-0.573390036447188,0.3520175141772108,0.2163323782234957,1.0,2,2.0,0.06957653395125596
78520,에이블씨엔씨,2025Q1,7020,7490,6310,6400,4825185,-0.08309455587392545,-0.086750926408655,-0.03614457831325302,0,0.2847420310549933,0.26777923298013306,-0.32984293193717273,7670.0,7725.0,-0.16558018252933504,1,-0.03614457831325302,-0.6191903435804093,0.3142828865460459,0.184375,1.0,3,3.0,0.1211358560497442
78520,에이블씨엔씨,2025Q2,6400,8110,5730,7780,5530288,0.21562499999999996,0.19525834782467477,-0.18534031413612562,0,0.17584612395678018,0.2772038764502719,0.0,7227.5,7766.25,0.07644413697682473,1,-0.18534031413612562,-0.3888294325364498,0.8379666396791315,0.3059125964010283,1.0,0,3.0,-0.5023883696898338
78520,에이블씨엔씨,2025Q3,7830,15490,7490,11000,55586015,0.4138817480719794,0.3463389346080703,0.4193548387096775,0,0.2480613243239263,0.28385066280085375,0.0,8040.0,7858.75,0.3681592039800996,0,0.4193548387096775,1.4998948318401486,3.119131534267651,0.7272727272727273,0.0,0,3.0,0.05476697234761341
78520,에이블씨엔씨,2025Q4,10980,13200,8710,10470,28214605,-0.048181818181818215,-0.049381247915924575,0.5,0,0.23449240103765873,0.2435817684411562,-0.048181818181818215,8912.5,8321.25,0.17475455820476848,0,0.5,0.19507612303458025,1.1986310859351397,0.4288443170964661,0.0,1,3.0,0.2159918971492143
