stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
109670,씨싸이트,2023Q4,35800,51500,27900,32550,21595380,,,,0,,,,,,,0,,,,0.7250384024577573,,0,,
109670,씨싸이트,2024Q1,32750,33800,18400,22550,11072056,-0.3072196620583717,-0.367042302705892,,1,,,,,,,0,,,,0.6829268292682927,,1,,
109670,씨싸이트,2024Q2,22550,40950,17320,17450,20626053,-0.22616407982261644,-0.2563954173002507,,1,,,,,,,0,,,,1.3541547277936963,,2,,
109670,씨싸이트,2024Q3,17400,18950,9500,11310,11231935,-0.3518624641833811,-0.4336523585204066,,1,,,-0.6525345622119816,20965.0,,-0.46052945385165756,0,,-0.8500564625811136,0.6962796555974587,0.8355437665782494,3.0,3,3.0,
109670,씨싸이트,2024Q4,11210,11650,6510,8070,2524345,-0.286472148541114,-0.3375338078461727,-0.752073732718894,1,0.0522067100361276,,-0.6421286031042128,14845.0,,-0.4563826204109128,0,-0.752073732718894,-1.1954114948222188,0.22214312461663493,0.6369268897149938,4.0,4,4.0,
109670,씨싸이트,2025Q1,7880,8800,6200,6360,1589097,-0.21189591078066916,-0.23812510492982675,-0.7179600886917961,1,0.06394585751568996,,-0.6355300859598854,10797.5,,-0.41097476267654554,0,-0.7179600886917961,-0.8329845701628817,0.17670656963039835,0.4088050314465409,4.0,5,5.0,
109670,씨싸이트,2025Q2,6160,7370,6020,6610,733130,0.03930817610062887,0.03855527651156443,-0.6212034383954155,0,0.1711916391307999,,-0.41556145004420864,8087.5,,-0.18268933539412668,0,-0.6212034383954155,-0.6757429798951481,0.18238758113548728,0.2042360060514372,3.0,0,5.0,
109670,씨싸이트,2025Q3,6620,10370,6330,8240,18993077,0.24659606656580935,0.2204166900577853,-0.2714412024756854,0,0.24360877331114292,,0.0,7320.0,14142.5,0.12568306010928953,1,-0.27144120247568526,1.49471225467247,3.1868048057251177,0.49029126213592233,2.0,0,5.0,-0.4604282395602163
109670,씨싸이트,2025Q4,8130,9440,5510,5750,5173722,-0.3021844660194175,-0.35980048911212137,-0.28748451053283786,1,0.24869927906077832,0.20874270086847407,-0.3021844660194175,6740.0,10792.5,-0.14688427299703266,1,-0.28748451053283763,-0.17104832998601696,0.7812627010143748,0.6834782608695652,2.0,1,5.0,-0.26361499520143716
