stock_code,Name,quarter,Open,High,Low,Close,Volume_sum,ret_1q,logret_1q,cumret_4q,down_gap_q,vol_4q,vol_8q,max_drawdown_4q,ma4,ma8,ma4_ratio,ma_cross_4_8,mom_4q,vol_z_4q,vol_drop_ratio_4q,intraquarter_range,crash_count_4q,down_streak_1q,down_streak_4q_max,vol_mean_decline_q
93380,풍강,2019Q1,3300,5660,3230,4435,129191421,,,,0,,,,,,,0,,,,0.5479143179255919,,0,,
93380,풍강,2019Q2,4400,4905,3325,3700,42507616,-0.1657271702367531,-0.1811947961113649,,1,,,,,,,0,,,,0.42702702702702705,,1,,
93380,풍강,2019Q3,3725,4270,2450,3550,43601419,-0.04054054054054057,-0.04138521616285473,,0,,,,,,,0,,,,0.5126760563380282,,2,,
93380,풍강,2019Q4,3595,3720,2935,3125,16065737,-0.11971830985915488,-0.12751332029895934,,1,,,-0.29537767756482525,3702.5,,-0.15597569209993245,0,,-0.8484003837436676,0.27775426982973267,0.2512,2.0,3,3.0,
93380,풍강,2020Q1,3100,3950,1500,2130,31593576,-0.3184,-0.38331230346703116,-0.519729425028185,1,0.11692123873162681,,-0.4243243243243243,3126.25,,-0.31867253098760495,0,-0.5197294250281849,-0.14452811770868246,0.9447250107327333,1.1502347417840375,3.0,4,4.0,
93380,풍강,2020Q2,2135,3240,2015,2530,6708615,0.187793427230047,0.17209732301809577,-0.3162162162162162,0,0.20934044588878353,,-0.2873239436619718,2833.75,,-0.10719011910013232,0,-0.3162162162162162,-1.0870894322717144,0.273906694509253,0.4841897233201581,2.0,0,4.0,
93380,풍강,2020Q3,2505,3425,2505,3035,32171703,0.1996047430830039,0.1819921217720326,-0.14507042253521119,0,0.2517778950773065,,-0.028800000000000048,2705.0,,0.12199630314232901,0,-0.1450704225352113,0.8472390480508333,1.487027509974014,0.3031301482701812,2.0,0,4.0,
93380,풍강,2020Q4,3035,4045,2990,3300,40274072,0.08731466227347617,0.08371104396097273,0.05600000000000005,0,0.24358599413223264,,0.0,2748.75,3225.625,0.20054570259208737,1,0.05600000000000005,0.8659143711618371,1.4546207376846993,0.3196969696969697,1.0,0,4.0,-0.3525671879602037
93380,풍강,2021Q1,3305,4845,3290,4055,60774300,0.22878787878787876,0.20602821909494118,0.903755868544601,0,0.061502996604917495,0.19980684038953017,0.0,3230.0,3178.125,0.2554179566563468,0,0.903755868544601,1.1532549632952456,1.7372934742689294,0.3834771886559803,0.0,0,0.0,0.022507886987070735
93380,풍강,2021Q2,4055,5870,4015,5400,51788432,0.33168927250308267,0.28644826600285356,1.1343873517786562,0,0.10051092747981746,0.21505236847948178,0.0,3947.5,3390.625,0.3679544015199494,0,1.1343873517786562,0.43973120082211814,1.1196983931122693,0.3435185185185185,0.0,0,0.0,0.3075829389815077
