Open,High,Low,Close,Volume_sum,ret_1q,vol_4q,max_drawdown_4q,ma4_ratio
7580,8400,6910,7440,3372204,-0.0171730515191546,0.1372389822534248,-0.0171730515191546,0.1472629144178874
7450,12350,7420,12350,8090727,0.6599462365591398,0.2948232172463924,0.0,0.4915458937198067
12200,17500,9100,9380,28536679,-0.2404858299595141,0.3932981258467943,-0.2404858299595141,0.0212302667392487
9380,11100,7200,8300,3960732,-0.115138592750533,0.4026167225671074,-0.3279352226720647,-0.113957832933013
8300,11200,7900,9730,7718270,0.1722891566265061,0.3997972045496363,-0.2121457489878542,-0.0211267605633802
9730,11200,7060,7450,5695002,-0.2343268242548818,0.1932809169592929,-0.2343268242548818,-0.1451520367183018
7400,13150,7040,11800,26213025,0.5838926174496644,0.3639714043401476,0.0,0.2660944206008584
12150,13400,8600,8780,21200003,-0.2559322033898304,0.3972177273373853,-0.2559322033898304,-0.0699152542372881
8790,10750,8450,10450,2223552,0.1902050113895217,0.3989059206067061,-0.1144067796610169,0.0862785862785862
10500,18970,10420,12300,46734196,0.1770334928229664,0.343086627248974,0.0,0.1354719593814908
12420,14870,8470,9120,9148700,-0.2585365853658536,0.2545859864379346,-0.2585365853658536,-0.1025830258302583
9180,14580,8020,8260,19028234,-0.0942982456140351,0.2184797950892025,-0.3284552845528455,-0.1766758036381759
2470,2675,2000,2315,57616413,-0.0627530364372469,0.1708582095131244,-0.0627530364372469,0.1231049120679199
2315,4210,2275,3655,129931521,0.5788336933045357,0.279578256248004,0.0,0.4242571846078908
3650,4095,2810,2885,49899672,-0.2106703146374828,0.3650394813718988,-0.2106703146374828,0.0189845474613685
2890,3275,2255,2490,20370196,-0.1369150779896013,0.3628665708030866,-0.3187414500683995,-0.1220802115469369
2495,2725,1995,2460,22270156,-0.0120481927710843,0.3588449765926935,-0.3269493844049247,-0.1436031331592689
2450,2880,1940,2050,29103629,-0.1666666666666666,0.0852499617718474,-0.2894280762564991,-0.1704602933737986
2050,2400,1365,1465,14837137,-0.2853658536585366,0.1122547111353647,-0.4116465863453815,-0.3077377436503249
1475,2395,1045,1520,119009212,0.0375426621160408,0.1475154019149013,-0.3821138211382113,-0.1887925283522348
1505,1835,1305,1470,20310184,-0.0328947368421053,0.143369824150013,-0.2829268292682927,-0.0960799385088393
1470,4030,1425,3390,69199191,1.306122448979592,0.7134464309811499,0.0,0.7284894837476099
3405,4015,2690,2830,39447590,-0.1651917404129793,0.6849934492245874,-0.1651917404129793,0.229098805646037
2830,2870,1990,2180,9020302,-0.2296819787985865,0.7289727026676273,-0.3569321533923304,-0.1165146909827761
4075,4860,4015,4585,14635820,0.1251533742331287,0.1992702355036161,-0.009719222462203,0.099190890020977
4585,6825,4530,6525,44709826,0.4231188658669575,0.2479963043717109,0.0,0.3171839515518546
6525,7350,5450,5600,33939646,-0.1417624521072796,0.2637030632119756,-0.1417624521072796,0.0777002646139042
5575,5750,4300,5175,11080538,-0.0758928571428571,0.2537862431168488,-0.2068965517241379,-0.0541466758053461
5175,5275,4385,4985,6031982,-0.0367149758454106,0.2576269019457874,-0.2360153256704981,-0.1052277316580659
4950,4995,3100,3570,3119168,-0.2838515546639919,0.108559240249634,-0.3625,-0.2612519399896533
3515,4475,3000,3125,20309490,-0.1246498599439775,0.1085177341931944,-0.3961352657004831,-0.2583803025808365
3140,3650,2985,3215,3056000,0.0287999999999999,0.1353219242657941,-0.3550651955867603,-0.1366230278616985
3215,5240,3080,4790,26584808,0.489891135303266,0.333614854526001,0.0,0.3034013605442176
4785,5475,4040,4125,15185988,-0.138830897703549,0.2940245375101388,-0.138830897703549,0.0816125860373648
4135,4650,2915,3005,4290286,-0.2715151515151515,0.3321057038998897,-0.3726513569937369,-0.2058143376280145
3055,3355,2565,3210,1835676,0.0682196339434275,0.3327577374218513,-0.3298538622129436,-0.1513549239920687
10241,15500,9800,10950,3802175,0.0788177339901476,0.2416786082411457,0.0,0.2651646447140381
10950,32150,10110,30100,28462829,1.7488584474885849,0.8154481930517623,0.0,1.0812445980985306
