Symbol,Name,DesignationDate,Reason
227100,프로브잇,2025-02-24,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
230980,비유테크놀러지,2024-03-22,"상장폐지사유 발생,회생절차 개시신청"
234920,자이글,2025-12-11,상장적격성 실질심사 대상 결정
241820,피씨엘,2025-03-25,"상장적격성 실질심사 대상 결정,자본잠식률 50% 이상,매출액 30억원 미달,상장폐지사유 발생"
244460,올리패스,2024-03-20,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상"
245620,EDGC,2024-04-19,"상장폐지사유 발생,회생절차 개시신청"
246250,에스엘에스바이오,2025-07-22,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
258830,세종메디칼,2024-04-12,"상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생"
269620,시스웍,2022-03-24,"상장폐지사유 발생,회생절차 개시신청,자기자본 10억원 미만,자본잠식률 50% 이상"
284620,카이노스메드,2025-03-24,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생,상장적격성 실질심사 대상 결정,자본잠식률 50% 이상"
288330,파라택시스코리아,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
290720,푸드나무,2025-03-21,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,자본잠식률 50% 이상"
294090,이오플로우,2025-03-24,상장폐지사유 발생
298060,에스씨엠생명과학,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
352770,셀레스트라,2025-04-07,"회생절차 개시신청,파산신청,상장폐지사유 발생"
377460,위니아에이드,2023-10-27,상장적격성 실질심사 대상 결정
405000,플라즈맵,2025-03-18,자본잠식률 50% 이상
412540,제일엠앤에스,2025-04-07,"상장폐지사유 발생,회생절차 개시신청"
418250,시큐레터,2025-03-17,상장적격성 실질심사 대상 결정
450940,유안타제14호스팩,2026-01-20,SPAC 상장예비심사청구서 미제출 등
455910,SK증권제9호스팩,2026-01-14,SPAC 상장예비심사청구서 미제출 등
457940,SK증권제10호스팩,2026-02-04,SPAC 상장예비심사청구서 미제출 등
